accel x,accel y,accel z,freefall,colision,Motion,Time_of_use,date,Time
9.7674234,-0.8237586,0.196133,False,False,False,0:00:00,2021-11-16,21:00:31.283534
9.80665,-0.784532,0.0784532,False,False,False,0:00:00,2021-11-16,21:00:30.206606
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:29.091572
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:27.978110
9.80665,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:26.910876
9.7674234,-0.8629851999999999,0.0784532,False,False,False,0:00:10.047386,2021-11-16,21:00:25.832696
holder
9.7674234,-0.8629851999999999,0.196133,False,False,False,0:00:00,2021-11-16,21:00:24.693693
9.7674234,-0.9022117999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:23.549472
9.80665,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:22.479727
9.80665,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:21.351670
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:20.251651
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:19.173425
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:17.991089
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:16.885452
9.7674234,-0.784532,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:15.787336
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:21.962219,2021-11-16,21:00:14.706884
holder
9.7281968,-0.784532,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:13.583300
9.7674234,-0.8629851999999999,0.0784532,False,False,False,0:00:00,2021-11-16,21:00:12.472178
9.7281968,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:11.390665
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:10.291502
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:09.193793
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:08.103169
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:07.001686
9.7281968,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:05.898165
9.7674234,-0.8237586,0.0784532,False,False,False,0:00:00,2021-11-16,21:00:04.783092
9.7674234,-0.8629851999999999,0.196133,False,False,False,0:00:00,2021-11-16,21:00:03.680262
9.7674234,-0.784532,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:02.582549
holder
9.7281968,-0.7453053999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:01.471214
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:00.372706
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:59.273075
9.7674234,-0.8629851999999999,0.0784532,False,False,False,0:00:00,2021-11-16,20:59:58.184076
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,20:59:57.103164
